GameID,TeamID,PlayerID,Time,Penalty
G1,A1,8,12,N
G1,A1,6,43,N
G1,A1,22,71,N
G1,A1,6,90+1,N
G1,A1,17,90+4,N
G2,A4,2,89,N
G4,B1,7,4,Y
G4,B1,7,44,N
G4,B1,7,88,N
G4,B2,19,24,N
G4,B2,19,55,N
G4,B2,4,58,N
G5,C1,7,58,Y
G5,C2,15,62,Y
G6,D1,19,19,N
G6,D2,11,23,N
G7,C4,20,59,N
G8,D3,10,71,Y
G9,E4,11,56,N
G10,F2,22,35,N
G11,E1,11,20,N
G11,E2,14,50,N
G12,F3,4,65,Y
G13,G1,14,47,N
G13,G1,9,69,N
G13,G1,9,75,N
G14,G3,13,35,Y
G14,G4,9,11,N
G14,G4,9,90+1,N
G15,H3,20,39,N
G15,H4,10,6,Y
G15,H4,15,73,N
G16,H1,10,86,N
G16,H2,19,60,N
G17,A1,6,59,N
G17,A1,22,62,N
G17,A3,10,73,Y
G18,B1,7,4,N
G19,A4,9,23,N
G20,B2,19,54,N
G21,C4,10,7,N
G21,C2,15,38,Y
G22,C1,10,34,N
G23,D3,7,90+1,N
G23,D3,10,80,N
G23,D3,18,53,N
G24,E1,10,90+1,N
G24,E1,11,90+7,N
G25,D4,7,49,N
G25,D4,7,75,N
G26,E4,9,5,N
G26,E2,10,52,N
G26,E2,23,90,N
G27,G1,9,16,N
G27,G1,9,45+3,N
G27,G1,10,6,Y
G27,G1,10,51,N
G27,G1,21,90,N
G27,G3,10,90+3,N
G27,G3,11,18,N
G28,F4,7,90+3,N
G28,F2,11,26,Y
G28,F2,14,66,N
G29,F1,8,90+5,N
G29,F1,11,48,N
G29,F3,20,32,N
G30,G4,5,8,N
G30,G4,5,40,N
G30,G4,7,36,N
G30,G4,9,22,Y
G30,G4,9,62,N
G30,G4,9,45+1,Y
G30,G2,23,78,N
G31,H4,14,34,N
G31,H4,4,78,N
G31,H2,10,11,N
G31,H2,22,71,N
G32,H3,9,70,N
G32,H3,11,75,N
G32,H3,13,40,N
G33,A4,9,10,N
G33,A4,21,90,N
G34,A2,7,45+6,Y
G34,A2,18,90+5,N
G34,A3,10,23,N
G35,B2,22,19,N
G35,B2,17,90+1,N
G35,B3,13,14,N
G35,B3,19,81,N
G36,B4,10,90+3,Y
G36,B1,20,45,N
G37,C3,9,50,N
G37,C3,18,18,N
G39,D4,11,51,Y
G39,D1,10,14,N
G39,D1,16,86,N
G40,D2,10,76,Y
G40,D3,4,90,N
G40,D3,19,53,N
G41,F4,7,90+6,N
G41,F4,19,90+3,N
G42,F3,4,62,Y
G42,F3,6,50,N
G43,E1,2,68,N
G43,E1,15,36,N
G44,E2,15,31,N
G44,E2,19,88,N
G44,E3,19,56,N
G45,H1,5,59,N
G46,H3,13,74,N
G47,G3,8,51,N
G47,G3,10,66,N
G48,G1,18,51,N
G49,A4,21,7,N
G49,A4,21,62,N
G49,B1,3,55,N
G50,C1,2,57,N
G50,C1,7,13,Y
G50,C1,10,64,N
G50,C1,10,68,N
G50,D1,2,48,N
G50,D1,11,41,N
G50,D1,19,90+3,N
G51,A1,22,41,Y
G52,D3,17,4,N
G52,C4,13,1,N
G53,E1,10,51,N
G53,E1,20,88,N
G54,G1,5,69,N
G54,G1,8,74,N
G54,G1,22,90+4,N
G54,H4,8,48,N
G54,H4,14,52,N
G55,F3,10,66,N
G56,H3,13,90+3,N
G56,G4,9,57,Y
G57,C1,4,40,N
G57,C1,7,61,N
G58,E1,8,76,N
G58,G1,7,31,N
G59,A1,2,115,N
G59,A1,6,31,N
G59,D3,9,39,N
G59,D3,21,101,N
G60,G4,6,30,N
G60,G4,20,59,N
G61,C1,5,51,N
G62,D3,4,68,N
G62,D3,17,109,N
G62,G4,12,5,N
G63,G1,10,82,N
G63,G1,15,4,N
G64,C1,6,59,N
G64,C1,7,38,Y
G64,C1,10,65,N
G64,D3,4,28,N
G64,D3,17,69,N
